dispatch_id,batch_id,volunteer_id,ngo_id,pickup_address,pickup_datetime,delivery_address,delivery_datetime,actual_delivery_datetime,distance_km,dispatch_status,notes,created_at
1,1,1,1,"Taj Palace, Mumbai","2026-09-19 07:45:18","SOS Children Village","2026-09-19 09:45:18",NULL,5.50,delivered,NULL,"2026-09-19 10:45:18"
2,2,2,2,"Reliance Fresh, Mumbai","2026-09-19 08:45:18","Mumbai Smile Shelter","2026-09-19 10:15:18",NULL,3.20,delivered,NULL,"2026-09-19 10:45:18"
3,3,4,3,"Grand Marriott, Mumbai","2026-09-19 06:45:18","Bangalore Food Bank","2026-09-19 08:45:18",NULL,12.80,delivered,NULL,"2026-09-19 10:45:18"
4,4,1,4,"Shiv Sagar, Mumbai","2026-09-19 09:45:18","Chennai Hunger Relief","2026-09-19 11:45:18",NULL,8.40,in_transit,NULL,"2026-09-19 10:45:18"
5,5,5,5,"City Banquet, Mumbai","2026-09-19 10:15:18","Pune Old Age Home","2026-09-19 12:45:18",NULL,15.20,picked_up,NULL,"2026-09-19 10:45:18"
6,6,6,6,"Nature Basket, Mumbai","2026-09-19 11:45:18","Hyderabad Hope","2026-09-19 15:45:18",NULL,18.60,assigned,NULL,"2026-09-19 10:45:18"
7,7,7,7,"Cafe Coffee Day, Pune","2026-09-19 08:45:18","Delhi Food for All","2026-09-19 10:15:18",NULL,6.70,delivered,NULL,"2026-09-19 10:45:18"
8,8,8,8,"Leela Palace, Bangalore","2026-09-19 07:45:18","Kochi Shelter","2026-09-19 09:45:18",NULL,9.30,delivered,NULL,"2026-09-19 10:45:18"
9,9,9,9,"Big Basket, Bangalore","2026-09-19 09:45:18","Chandigarh Child Care","2026-09-19 11:45:18",NULL,11.50,accepted,NULL,"2026-09-19 10:45:18"
10,10,10,10,"Oberoi, Chennai","2026-09-19 12:45:18","Ahmedabad Women Shelter","2026-09-19 16:45:18",NULL,22.10,assigned,NULL,"2026-09-19 10:45:18"
11,11,1,1,"Spice Garden, Chennai","2026-09-19 06:45:18","SOS Children Village","2026-09-19 08:45:18",NULL,4.80,delivered,NULL,"2026-09-19 10:45:18"
12,12,2,2,"Organic Farms, Hyderabad","2026-09-19 08:45:18","Mumbai Smile Shelter","2026-09-19 10:15:18",NULL,7.20,delivered,NULL,"2026-09-19 10:45:18"
13,13,4,3,"IKEA, Bangalore","2026-09-19 09:45:18","Bangalore Food Bank","2026-09-19 11:45:18",NULL,5.10,picked_up,NULL,"2026-09-19 10:45:18"
14,14,5,4,"Punjab Grill, Chandigarh","2026-09-19 11:45:18","Chennai Hunger Relief","2026-09-19 14:45:18",NULL,14.30,assigned,NULL,"2026-09-19 10:45:18"
15,15,6,5,"Royal Orchid, Jaipur","2026-09-19 07:45:18","Pune Old Age Home","2026-09-19 09:45:18",NULL,10.70,delivered,NULL,"2026-09-19 10:45:18"
16,16,7,6,"Amul Parlour, Ahmedabad","2026-09-19 08:45:18","Hyderabad Hope","2026-09-19 10:15:18",NULL,8.90,delivered,NULL,"2026-09-19 10:45:18"
17,17,8,7,"Biryani Blues, Hyderabad","2026-09-19 09:45:18","Delhi Food for All","2026-09-19 12:45:18",NULL,13.40,accepted,NULL,"2026-09-19 10:45:18"
18,18,9,8,"Cakery Shop, Delhi","2026-09-19 11:45:18","Kochi Shelter","2026-09-19 15:45:18",NULL,19.80,assigned,NULL,"2026-09-19 10:45:18"
19,19,10,9,"ITC Grand Chola, Chennai","2026-09-19 06:45:18","Chandigarh Child Care","2026-09-19 08:45:18",NULL,6.30,delivered,NULL,"2026-09-19 10:45:18"
20,20,1,10,"D-Mart, Pune","2026-09-19 09:45:18","Ahmedabad Women Shelter","2026-09-19 11:45:18",NULL,9.60,picked_up,NULL,"2026-09-19 10:45:18"
21,1,1,1,"123 Main St","2026-09-19 10:45:18","456 NGO St","2026-09-19 12:45:18",NULL,NULL,assigned,NULL,"2026-09-19 10:45:18"
