batch_id,donor_id,food_category,food_description,quantity_kg,quantity_servings,preparation_datetime,expiry_datetime,requires_refrigeration,is_vegetarian,status,created_at
32,1,cooked_food,"Vegetable biryani with raita",25.00,150,"2026-09-19 08:31:46","2026-09-19 13:31:46",1,1,available,"2026-09-19 10:31:46"
33,1,packaged_meals,"Pre-packed vegetarian thali",15.00,80,"2026-09-19 09:31:46","2026-09-19 15:31:46",0,1,available,"2026-09-19 10:31:46"
34,2,raw_produce,"Fresh mixed vegetables",50.00,0,"2026-09-19 07:31:46","2026-09-20 10:31:46",1,1,available,"2026-09-19 10:31:46"
35,2,fruits,"Overripe bananas and apples",30.00,0,"2026-09-19 09:31:46","2026-09-19 22:31:46",1,1,available,"2026-09-19 10:31:46"
36,3,bakery,"Freshly baked bread and pastries",20.00,120,"2026-09-19 10:01:46","2026-09-19 18:31:46",0,1,available,"2026-09-19 10:31:46"
37,3,dairy,"Milk and yogurt packets",35.00,200,"2026-09-19 08:31:46","2026-09-19 16:31:46",1,1,available,"2026-09-19 10:31:46"
38,4,cooked_food,"Paneer butter masala and naan",18.00,100,"2026-09-19 09:31:46","2026-09-19 14:31:46",1,1,available,"2026-09-19 10:31:46"
39,5,cooked_food,"Wedding feast leftovers",80.00,400,"2026-09-19 09:31:46","2026-09-19 12:31:46",1,1,available,"2026-09-19 10:31:46"
40,6,grains,"Rice bags and wheat flour",100.00,0,"2026-09-19 05:31:46","2026-10-19 10:31:46",0,1,available,"2026-09-19 10:31:46"
41,6,vegetables,"Organic tomatoes and onions",40.00,0,"2026-09-19 08:31:46","2026-09-21 10:31:46",1,1,available,"2026-09-19 10:31:46"
42,7,packaged_meals,"Ready-to-eat pasta and sandwiches",12.00,60,"2026-09-19 09:31:46","2026-09-22 10:31:46",0,1,available,"2026-09-19 10:31:46"
43,8,cooked_food,"South Indian breakfast - idli, dosa",35.00,250,"2026-09-19 10:01:46","2026-09-19 15:31:46",1,1,available,"2026-09-19 10:31:46"
44,9,fruits,"Mixed seasonal fruits",45.00,0,"2026-09-19 09:31:46","2026-09-20 22:31:46",1,1,available,"2026-09-19 10:31:46"
45,10,cooked_food,"Filter coffee and breakfast items",10.00,80,"2026-09-19 09:46:46","2026-09-19 17:31:46",1,1,available,"2026-09-19 10:31:46"
46,11,cooked_food,"Biryani and kebabs - non-veg",22.00,120,"2026-09-19 09:31:46","2026-09-19 13:31:46",1,0,available,"2026-09-19 10:31:46"
47,12,raw_produce,"Fresh organic vegetables",60.00,0,"2026-09-19 07:31:46","2026-09-22 10:31:46",1,1,available,"2026-09-19 10:31:46"
48,13,cooked_food,"Swedish meatballs and pasta",15.00,90,"2026-09-19 09:31:46","2026-09-19 16:31:46",1,0,available,"2026-09-19 10:31:46"
49,14,cooked_food,"Punjabi thali - dal, roti, sabzi",28.00,160,"2026-09-19 09:46:46","2026-09-19 14:31:46",1,1,available,"2026-09-19 10:31:46"
50,15,packaged_meals,"Canned goods and dry rations",75.00,300,"2026-09-19 00:31:46","2027-09-19 10:31:46",0,1,available,"2026-09-19 10:31:46"
51,8,dairy,"Cheese blocks and butter",20.00,100,"2026-09-19 08:31:46","2026-09-26 10:31:46",1,1,available,"2026-09-19 10:31:46"
52,9,cooked_food,"Hyderabadi biryani and haleem",40.00,220,"2026-09-19 10:01:46","2026-09-19 13:31:46",1,0,available,"2026-09-19 10:31:46"
53,10,bakery,"Assorted cakes and pastries",15.00,100,"2026-09-19 09:31:46","2026-09-19 20:31:46",0,1,available,"2026-09-19 10:31:46"
54,11,cooked_food,"Chettinad meals with fish curry",25.00,150,"2026-09-19 09:46:46","2026-09-19 15:31:46",1,0,available,"2026-09-19 10:31:46"
55,12,grains,"Pulses and lentils",80.00,0,"2026-09-19 05:31:46","2027-09-19 10:31:46",0,1,available,"2026-09-19 10:31:46"
56,1,cooked_food,"Dal makhani and jeera rice",20.00,120,"2026-09-19 09:31:46","2026-09-19 14:31:46",1,1,reserved,"2026-09-19 10:31:46"
57,2,vegetables,"Fresh leafy greens",25.00,0,"2026-09-19 09:31:46","2026-09-20 10:31:46",1,1,available,"2026-09-19 10:31:46"
58,3,packaged_meals,"Energy bars and protein shakes",8.00,120,"2026-09-19 09:31:46","2027-09-19 10:31:46",0,1,available,"2026-09-19 10:31:46"
59,4,cooked_food,"Subway sandwiches and wraps",10.00,60,"2026-09-19 10:01:46","2026-09-19 16:31:46",0,0,available,"2026-09-19 10:31:46"
60,5,cooked_food,"Full South Indian meals",30.00,200,"2026-09-19 09:46:46","2026-09-19 15:31:46",1,1,available,"2026-09-19 10:31:46"
61,6,frozen_food,"Frozen peas and vegetables",30.00,0,"2026-09-19 08:31:46","2026-10-19 10:31:46",1,1,available,"2026-09-19 10:31:46"
62,7,cooked_food,"Momos and thukpa",12.00,80,"2026-09-19 09:31:46","2026-09-19 15:31:46",1,0,available,"2026-09-19 10:31:46"
