demand_id,ngo_id,food_category,required_servings,priority,is_active,requested_date
1,1,cooked_food,200,critical,1,2026-09-19
2,1,dairy,100,high,1,2026-09-19
3,2,cooked_food,150,high,1,2026-09-19
4,2,fruits,80,medium,1,2026-09-19
5,3,packaged_meals,300,critical,1,2026-09-19
6,3,grains,200,high,1,2026-09-19
7,4,cooked_food,250,high,1,2026-09-19
8,4,vegetables,100,medium,1,2026-09-19
9,5,cooked_food,100,medium,1,2026-09-19
10,5,dairy,50,low,1,2026-09-19
11,6,cooked_food,180,high,1,2026-09-19
12,6,fruits,120,medium,1,2026-09-19
13,7,packaged_meals,500,critical,1,2026-09-19
14,7,grains,300,high,1,2026-09-19
15,8,cooked_food,80,medium,1,2026-09-19
16,8,dairy,40,low,1,2026-09-19
17,9,cooked_food,120,high,1,2026-09-19
18,9,fruits,60,medium,1,2026-09-19
19,10,cooked_food,100,medium,1,2026-09-19
20,10,vegetables,80,low,1,2026-09-19
21,1,bakery,50,low,1,2026-09-18
22,2,cooked_food,100,medium,1,2026-09-18
23,3,frozen_food,150,high,1,2026-09-18
24,4,cooked_food,200,critical,1,2026-09-18
25,5,grains,100,medium,1,2026-09-18
26,6,cooked_food,150,high,1,2026-09-18
27,7,packaged_meals,400,critical,1,2026-09-18
28,8,dairy,60,low,1,2026-09-18
29,9,cooked_food,130,medium,1,2026-09-18
30,10,vegetables,90,low,1,2026-09-18
31,1,cooked_food,200,critical,1,2026-09-19
32,1,dairy,100,high,1,2026-09-19
33,2,cooked_food,150,high,1,2026-09-19
34,2,fruits,80,medium,1,2026-09-19
35,3,packaged_meals,300,critical,1,2026-09-19
36,3,grains,200,high,1,2026-09-19
37,4,cooked_food,250,high,1,2026-09-19
38,4,vegetables,100,medium,1,2026-09-19
39,5,cooked_food,100,medium,1,2026-09-19
40,5,dairy,50,low,1,2026-09-19
41,6,cooked_food,180,high,1,2026-09-19
42,6,fruits,120,medium,1,2026-09-19
43,7,packaged_meals,500,critical,1,2026-09-19
44,7,grains,300,high,1,2026-09-19
45,8,cooked_food,80,medium,1,2026-09-19
46,8,dairy,40,low,1,2026-09-19
47,9,cooked_food,120,high,1,2026-09-19
48,9,fruits,60,medium,1,2026-09-19
49,10,cooked_food,100,medium,1,2026-09-19
50,10,vegetables,80,low,1,2026-09-19
51,1,bakery,50,low,1,2026-09-18
52,2,cooked_food,100,medium,1,2026-09-18
53,3,frozen_food,150,high,1,2026-09-18
54,4,cooked_food,200,critical,1,2026-09-18
55,5,grains,100,medium,1,2026-09-18
56,6,cooked_food,150,high,1,2026-09-18
57,7,packaged_meals,400,critical,1,2026-09-18
58,8,dairy,60,low,1,2026-09-18
59,9,cooked_food,130,medium,1,2026-09-18
60,10,vegetables,90,low,1,2026-09-18
