log_id,batch_id,inspector_name,inspection_type,temperature_c,temperature_ok,condition_status,packaging_intact,action_taken,notes,created_at
1,1,"Inspector A",pickup,4.5,1,Accepted,1,none,"Good condition","2026-09-19 10:45:18"
2,1,"Inspector A",delivery,5.2,1,Accepted,1,accepted_with_caution,"Delivered on time","2026-09-19 10:45:18"
3,2,"Inspector B",pickup,3.8,1,Accepted,1,none,"Fresh items","2026-09-19 10:45:18"
4,3,"Inspector C",pickup,6.1,1,Partially_Damaged,1,accepted_with_caution,"Minor bruising","2026-09-19 10:45:18"
5,4,"Inspector D",pickup,4.2,1,Accepted,1,none,"Good quality","2026-09-19 10:45:18"
6,5,"Inspector E",delivery,5.5,1,Accepted,1,accepted_with_caution,"Hot and fresh","2026-09-19 10:45:18"
7,6,"Inspector A",pickup,3.5,1,Accepted,1,none,"Dairy items OK","2026-09-19 10:45:18"
8,7,"Inspector B",delivery,4.8,1,Accepted,1,accepted_with_caution,"Delivered safely","2026-09-19 10:45:18"
9,8,"Inspector C",pickup,5.0,1,Accepted,1,none,"Ready for transport","2026-09-19 10:45:18"
10,9,"Inspector D",delivery,6.3,0,Spoiled,0,rejected,"Temperature breach","2026-09-19 10:45:18"
11,10,"Inspector E",pickup,4.0,1,Accepted,1,none,"Good condition","2026-09-19 10:45:18"
12,11,"Inspector A",delivery,4.6,1,Accepted,1,accepted_with_caution,"On time delivery","2026-09-19 10:45:18"
13,12,"Inspector B",pickup,3.9,1,Accepted,1,none,"Fresh produce","2026-09-19 10:45:18"
14,13,"Inspector C",delivery,5.1,1,Partially_Damaged,1,accepted_with_caution,"Slight damage","2026-09-19 10:45:18"
15,14,"Inspector D",pickup,4.3,1,Accepted,1,none,"Good quality","2026-09-19 10:45:18"
16,15,"Inspector E",delivery,4.7,1,Accepted,1,accepted_with_caution,"Delivered well","2026-09-19 10:45:18"
17,16,"Inspector A",pickup,3.2,1,Accepted,1,none,"Cold chain intact","2026-09-19 10:45:18"
18,17,"Inspector B",delivery,5.8,1,Accepted,1,accepted_with_caution,Acceptable,"2026-09-19 10:45:18"
19,18,"Inspector C",pickup,4.1,1,Accepted,1,none,"Ready to go","2026-09-19 10:45:18"
20,19,"Inspector D",delivery,4.4,1,Accepted,1,accepted_with_caution,"Good delivery","2026-09-19 10:45:18"
